ID,acousticness,danceability,energy,tempo,valence,instrumentalness,liveness,loudness,speechiness
1,0.155,0.221,0.0879,126.622,0.0401,0.698,0.0869,-16.996,0.0381
2,0.881,0.091,0.279,76.256,0.0372,0.916,0.105,-16.499,0.0412
3,0.912,0.127,0.0355,65.659,0.0834,0.594,0.119,-28.803,0.0447
4,0.87,0.197,0.499,79.723,0.148,0.776,0.0398,-9.874,0.0581
5,0.971,0.776,0.106,119.929,0.155,0.765,0.0825,-17.246,0.0794
6,0.00148,0.635,0.686,145.101,0.713,0.933,0.0684,-10.361,0.0887
9,0.813,0.31,0.346,131.117,0.152,0.91,0.107,-11.232,0.0392
11,0.877,0.236,0.0113,89.751,0.0374,0.3,0.0789,-31.226,0.0439
12,0.393,0.668,0.616,97.986,0.566,6.31E-06,0.092,-7.925,0.0582
13,0.89,0.284,0.0863,70.79,0.0796,0.0889,0.0803,-20.316,0.0428
14,0.987,0.109,0.104,70.956,0.117,0.903,0.0926,-14.72,0.0338
17,0.908,0.445,0.511,92.212,0.325,0.917,0.156,-10.056,0.0408
19,0.513,0.093,0.0249,79.369,0.0365,0.805,0.0831,-20.74,0.0463
20,0.986,0.599,0.00379,131.623,0.326,0.924,0.101,-31.414,0.0644
21,0.95,0.204,0.177,66.12,0.0366,0.875,0.111,-16.339,0.0428
22,0.971,0.204,0.154,114.21,0.0389,0.945,0.103,-25.379,0.0421
24,0.987,0.261,0.108,174.106,0.139,0.977,0.209,-17.865,0.0387
26,0.96,0.194,0.0436,138.908,0.0294,0.899,0.105,-31.458,0.039
27,0.862,0.369,0.331,99.924,0.201,0.948,0.0925,-14.678,0.032
28,0.923,0.164,0.0933,129.94,0.0321,0.87,0.109,-22.457,0.04
30,0.88,0.272,0.284,111.642,0.0364,0.892,0.121,-17.183,0.0349
31,0.995,0.536,0.0397,83.998,0.502,0.961,0.108,-22.138,0.0511
32,0.016,0.273,0.903,192.587,0.0784,0.0381,0.0998,-6.116,0.106
34,0.524,0.446,0.606,123.773,0.182,0.13,0.873,-8.338,0.0931
35,0.772,0.501,0.445,80.086,0.388,0,0.117,-8.432,0.0337
37,0.937,0.14,0.0129,69.879,0.126,0.899,0.153,-33.012,0.0365
41,0.00172,0.556,0.542,146.922,0.34,0.249,0.364,-12.308,0.0509
45,0.708,0.194,0.406,180.159,0.305,0.602,0.114,-12.646,0.042
48,0.491,0,0.194,0,0,0.881,0.112,-19.114,0
51,0.862,0.346,0.253,82.442,0.0366,0.951,0.0807,-14.204,0.0461
59,0.996,0.363,0.00498,168.621,0.19,0.931,0.0648,-32.216,0.0479
60,0.723,0.253,0.109,113.484,0.0894,0.641,0.0721,-21.238,0.0355
67,0.988,0.277,0.000637,72.709,0,0.903,0.0964,-33.8,0.0521
69,0.948,0.305,0.0424,100.143,0.0364,0.774,0.084,-26.35,0.0323
72,0.915,0.568,0.186,109.093,0.0373,0.948,0.0668,-15.746,0.0322
79,0.929,0.285,0.347,170.449,0.0392,0.661,0.101,-16.019,0.0466
85,0.963,0.335,0.0688,52.025,0.278,0.843,0.124,-26.686,0.0406
86,0.895,0.0923,0.031,86.636,0.0344,0.916,0.0766,-29.351,0.0454
91,0.0783,0.711,0.774,102.542,0.885,1.60E-06,0.0446,-5.686,0.0389
92,0.00016,0.402,0.944,152.971,0.368,6.91E-06,0.114,-4.732,0.0559
96,0.957,0.309,0.281,105.878,0.103,0.271,0.0815,-12.746,0.0312
97,0.973,0.486,0.361,106.141,0.339,0.93,0.0883,-16.829,0.0288
101,0.847,0.42,0.257,99.984,0.0643,0.887,0.097,-14.524,0.0366
113,0.193,0.25,0.677,96.032,0.034,0.843,0.172,-14.26,0.0389
115,0.916,0.259,0.129,93.626,0.0398,0.684,0.388,-18.872,0.0371
117,9.96E-05,0.248,0.995,150.708,0.429,0,0.53,-4.816,0.183
118,0.511,0.171,0.214,62.568,0.0393,0.587,0.0982,-16.396,0.0372
119,0.819,0.575,0.226,135.361,0.478,0,0.121,-12.637,0.0365
122,0.741,0.634,0.118,133.856,0.474,0.748,0.214,-22.22,0.0351
137,0.21,0.196,0.394,130.899,0.0392,0.945,0.105,-16.016,0.0639
138,0.215,0.526,0.492,90.006,0.199,0.862,0.0762,-11.677,0.0324
140,0.00796,0.694,0.443,120.019,0.642,0,0.0731,-8.136,0.0456
141,0.324,0.44,0.27,125.969,0.039,0.927,0.164,-15.21,0.0376
143,0.171,0.481,0.464,103.97,0.168,0.163,0.13,-9.392,0.0256
144,0.479,0.276,0.261,73.174,0.322,0,0.158,-13.47,0.0475
146,0.988,0.135,0.00168,141.561,0.0372,0.957,0.135,-26.908,0.0708
155,0.972,0.27,0.105,89.963,0.0313,0.963,0.0745,-16.279,0.0378
157,0.567,0.2,0.191,119.905,0.0398,0.738,0.115,-18.767,0.0363
158,0.935,0.551,0.0551,128.569,0.734,0.155,0.152,-32.128,0.0352
164,0.688,0.126,0.0967,147.773,0.0388,0.893,0.105,-24.686,0.0393
165,0.97,0.424,0.252,130.111,0.0359,0.917,0.103,-15.392,0.0346
167,0.975,0.418,0.0585,98.185,0.236,0.00287,0.115,-15.772,0.0329
168,0.823,0.238,0.105,156.519,0.0754,0.671,0.096,-20.754,0.0388
170,0.497,0.636,0.296,120,0.0695,0.968,0.132,-16.046,0.0346
171,0.676,0.163,0.32,85.258,0.0339,0.579,0.127,-14.166,0.0397
174,0.641,0.32,0.172,150.979,0.163,0.0017,0.192,-11.935,0.0301
179,0.614,0.4,0.469,107.621,0.146,0,0.339,-11.27,0.0331
180,0.192,0.201,0.263,77.416,0.165,5.99E-05,0.0999,-17.928,0.0331
182,0.616,0.382,0.434,114.068,0.484,2.88E-06,0.0455,-10.688,0.0356
187,0.981,0.144,0.0298,102.489,0.0342,0.921,0.174,-27.002,0.0429
190,0.785,0.442,0.239,154.132,0.19,0.578,0.115,-16.335,0.112
195,0.00764,0.164,0.416,86.464,0.0354,0.795,0.096,-12.763,0.0366
198,0.493,0.416,0.546,180.044,0.0336,0.936,0.087,-11.812,0.0522
199,0.933,0.189,0.18,102.497,0.0569,0.577,0.259,-18.694,0.0326
201,0.782,0.188,0.468,114.146,0.0367,0.925,0.0823,-9.132,0.0447
203,0.513,0.135,0.0233,63.008,0.0352,0.909,0.0601,-16.648,0.0429
206,0.956,0.847,0.0552,122.068,0.0411,0.904,0.0919,-23.604,0.0688
211,0.662,0.226,0.512,78.624,0.25,0.000616,0.136,-9.404,0.054
212,0.0738,0.0953,0.372,179.421,0.0503,0.755,0.0972,-16.812,0.0411
217,0.608,0.154,0.162,75.174,0.034,0.877,0.0947,-18.942,0.0416
220,0.73,0.422,0.351,132.317,0.168,0.904,0.0784,-13.002,0.0352
227,0.548,0.159,0.145,75.425,0.0315,0.832,0.0853,-16.816,0.0374
229,0.973,0.256,0.017,111.302,0.106,0.0544,0.0961,-29.288,0.0407
235,0.567,0.2,0.134,122.191,0.0471,0.974,0.107,-17.548,0.0429
236,0.845,0.541,0.252,101.825,0.302,0.000383,0.165,-15.109,0.0322
237,0.015,0.53,0.49,90.395,0.0777,0.95,0.0983,-15.367,0.0357
238,0.0594,0.591,0.8,101,0.404,6.11E-05,0.192,-6.972,0.0725
241,0.0617,0.378,0.612,76.74,0.27,0,0.105,-6.282,0.0403
243,0.939,0.462,0.0904,97.951,0.0338,0.826,0.117,-23.027,0.0364
249,0.383,0.777,0.338,170.286,0.801,0.888,0.103,-11.341,0.0684
250,0.816,0.145,0.23,78.309,0.0327,0.941,0.0771,-17.905,0.0408
258,0.689,0.344,0.482,171.896,0.16,0,0.112,-8.685,0.047
261,0.72,0.482,0.533,127.983,0.157,0.913,0.46,-9.209,0.058
264,0.918,0.608,0.61,124.982,0.162,0.877,0.0887,-10.922,0.0335
265,0.991,0.56,0.00767,66.384,0.206,0.915,0.0737,-24.558,0.0538
267,0.535,0.421,0.46,171.845,0.208,0,0.101,-6.044,0.0344
269,0.0181,0.632,0.619,171.115,0.256,0.88,0.367,-11.486,0.131
275,0.425,0.0784,0.267,82.689,0.0463,0.953,0.103,-14.261,0.033
288,0.995,0.699,0.0155,75.935,0.292,0.934,0.133,-20.047,0.0707
295,0.969,0.242,0.0365,126.343,0.0426,0.906,0.0934,-28.394,0.0379
298,0.884,0.739,0.726,116.032,0.679,0.147,0.0872,-4.854,0.0407
300,0.333,0.569,0.273,81.41,0.235,0,0.127,-16.303,0.278
306,0.958,0.276,0.043,63.45,0.0782,0.918,0.0972,-29.739,0.0371
307,0.875,0.571,0.0797,82.579,0.0646,0.908,0.121,-15.202,0.144
309,0.994,0.151,0.023,75.494,0.0421,0.954,0.109,-24.191,0.0603
310,0.903,0.128,0.211,83.165,0.0768,0.023,0.0904,-14.883,0.0382
320,0.98,0.285,0.167,69.591,0.0284,0.895,0.0713,-23.009,0.0704
321,0.989,0.101,0.071,173.733,0.0315,0.966,0.0781,-22.462,0.0483
322,0.798,0.173,0.114,115.903,0.0383,0.93,0.113,-27.712,0.0541
324,0.0273,0.524,0.834,119.968,0.608,0.785,0.167,-9.142,0.051
328,0.735,0.148,0.118,138.196,0.0505,0.808,0.43,-22.263,0.0356
335,0.0948,0.66,0.926,109.997,0.731,0,0.248,-3.452,0.0296
338,0.551,0.164,0.0759,129.578,0.0345,0.87,0.117,-22.34,0.039
341,0.00304,0.362,0.523,104.993,0.288,0.911,0.215,-10.058,0.0323
343,0.891,0.0862,0.0322,82.035,0.0294,0.904,0.115,-32.17,0.0371
348,0.973,0.358,0.217,92.39,0.0696,0.982,0.204,-16.102,0.0314
350,0.385,0.106,0.207,74.389,0.0335,0.758,0.0882,-17.466,0.0382
358,0.967,0.348,0.0329,72.241,0.279,0,0.116,-16.271,0.0413
361,0.988,0.0672,0.131,72.506,0.0305,0.872,0.0671,-26.872,0.0483
366,0.977,0.386,0.0408,109.06,0.0667,0.938,0.105,-20.104,0.0477
368,0.12,0.466,0.717,81.565,0.761,0.000251,0.0285,-5.046,0.0564
369,0.769,0.183,0.179,140.107,0.0805,0.937,0.0933,-19.974,0.0348
377,0.947,0.116,0.0418,73.287,0.0396,0.715,0.114,-22.164,0.0427
380,0.0217,0.0689,0.553,66.851,0.0184,0.751,0.11,-9.985,0.0535
381,0.967,0.111,0.0621,90.79,0.029,0.861,0.0797,-21.731,0.0482
389,0.905,0.15,0.0269,87.953,0.0676,0.749,0.076,-24.639,0.0394
397,0.91,0.844,0.381,108.251,0.242,0.527,0.0836,-14.795,0.0723
407,0.0839,0.229,0.239,130.329,0.0511,0.639,0.0954,-14.095,0.0323
411,0.603,0.13,0.0916,151.156,0.0326,0.913,0.11,-16.592,0.033
413,0.364,0.326,0.214,105.005,0.0394,0.849,0.104,-17.847,0.0359
426,0.453,0.358,0.209,109.862,0.0597,0.859,0.155,-15.507,0.0345
427,0.944,0.217,0.0128,133.796,0.0395,0.938,0.0801,-33.821,0.0368
428,0.438,0.563,0.734,162.086,0.739,0,0.133,-10.176,0.472
429,0.951,0.236,0.212,74.441,0.0379,0.7,0.0864,-21.019,0.0762
430,0.026,0.497,0.444,108.155,0.123,2.38E-06,0.168,-7.52,0.028
433,0.976,0.125,0.145,74.169,0.0891,0.879,0.11,-15.511,0.0359
435,0.06,0.688,0.701,110.019,0.385,0.0301,0.271,-7.505,0.0298
441,0.933,0.218,0.0602,67.575,0.0349,0.949,0.0667,-27.021,0.0464
442,0.957,0.202,0.12,77.134,0.33,0.914,0.108,-21.509,0.0343
447,0.27,0.336,0.704,151.779,0.361,6.12E-05,0.107,-7.928,0.0472
454,0.944,0.0777,0.0939,65.093,0.0443,0.987,0.0701,-25.933,0.0417
463,0.0239,0.0876,0.275,167.591,0.0357,0.952,0.11,-13.808,0.0435
465,0.917,0.346,0.126,140.631,0.0395,0.208,0.0724,-21.672,0.0386
468,0.341,0.103,0.0223,87.894,0.033,0.27,0.395,-24.664,0.0387
472,0.96,0.0802,0.128,81.436,0.0381,0.891,0.0843,-14.281,0.0402
476,0.86,0.252,0.357,72.817,0.116,0.895,0.142,-11.864,0.0383
478,0.0012,0.172,0.332,88.986,0.0326,0.934,0.1,-15.026,0.0458
486,0.767,0.0888,0.111,86.618,0.0345,0.944,0.101,-27.392,0.0405
487,0.447,0.584,0.698,79.993,0.436,0,0.0699,-6.61,0.0376
491,0.816,0.666,0.441,128.063,0.522,0.756,0.29,-12.174,0.0323
492,0.966,0.142,0.276,66.856,0.0545,0.924,0.08,-15.116,0.0458
494,0.994,0.318,0.00377,127.17,0.104,0.9,0.09,-36.736,0.0455
501,0.954,0.425,0.0651,95.307,0.0346,0.898,0.0911,-19.021,0.058
503,0.972,0.455,0.165,119.995,0.0729,0.899,0.0906,-17.004,0.0356
510,0.899,0.159,0.117,75.438,0.0258,0.84,0.0749,-17.823,0.0481
512,0.878,0.316,0.0984,60.612,0.0367,0.618,0.108,-19.177,0.0325
516,0.894,0.114,0.0825,93.047,0.0545,0.764,0.0835,-29.231,0.0467
520,0.00109,0.413,0.669,175.037,0.0384,0.474,0.107,-9.672,0.0381
523,0.967,0.0692,0.0755,70.671,0.0385,0.937,0.0772,-27.553,0.0403
525,0.906,0.47,0.171,129.759,0.0381,0.898,0.125,-13.144,0.0339
536,0.945,0.0781,0.0377,63.674,0.0357,0.949,0.109,-20.935,0.045
539,0.72,0.237,0.153,113.258,0.0365,0.944,0.0777,-19.418,0.0353
541,0.0119,0.441,0.61,135.439,0.158,0.605,0.313,-17.951,0.0425
548,0.552,0.619,0.953,80.038,0.253,0.893,0.193,-6.097,0.076
551,0.946,0.268,0.159,68.829,0.0659,0.85,0.109,-17.675,0.033
552,0.989,0.162,0.0331,54.796,0.0729,0.942,0.109,-26.999,0.0392
554,0.766,0.315,0.369,145.366,0.451,2.22E-05,0.367,-10.489,0.0296
557,0.189,0.46,0.436,58.069,0.197,0.831,0.123,-14.06,0.0411
563,0.00012,0.417,0.88,174.069,0.346,0.796,0.144,-8.997,0.0426
564,0.627,0.34,0.253,104.06,0.0375,0.855,0.193,-14.856,0.0315
586,0.976,0.133,0.0803,81.144,0.0258,0.93,0.0725,-19.033,0.0446
587,0.994,0.221,0.0216,131.63,0.0278,0.219,0.0862,-26.316,0.0506
588,0.215,0.185,0.807,137.78,0.0472,0.893,0.0762,-11.366,0.0841
591,0.656,0.476,0.361,179.927,0.159,0.489,0.115,-11.434,0.0349
598,0.876,0.264,0.111,80.27,0.0337,0.91,0.124,-23.59,0.0501
600,0.876,0.0959,0.0449,76.044,0.044,0.14,0.105,-18.878,0.0396
603,0.557,0.562,0.519,122.925,0.415,0.000268,0.172,-8.744,0.0326
608,0.958,0.164,0.117,77.977,0.0661,0.783,0.177,-17.918,0.0363
610,0.00812,0.618,0.45,92.976,0.0375,0.884,0.114,-12.691,0.0432
611,0.95,0.188,0.198,114.999,0.0503,0.802,0.158,-22.862,0.0561
614,0.935,0.278,0.0199,82.961,0.0733,0.903,0.0916,-32.54,0.0351
615,0.979,0.35,0.0775,96.54,0.077,0.00103,0.061,-14.485,0.0374
620,0.994,0.0638,0.0822,58.856,0.0301,0.843,0.0818,-28.565,0.0508
622,0.476,0.647,0.368,110.775,0.688,0.777,0.193,-13.029,0.0431
636,0.801,0.0826,0.412,83.755,0.04,0.979,0.0903,-9.041,0.0383
637,0.98,0.509,0.428,92.018,0.0405,0.948,0.0895,-16.527,0.07
640,0.97,0.153,0.117,77.861,0.0934,0.945,0.142,-19.361,0.0392
645,0.00544,0.433,0.911,90.094,0.035,0.949,0.0966,-8.76,0.0587
650,0.301,0.187,0.674,109.188,0.192,0.945,0.282,-10.156,0.0518
658,0.951,0.195,0.0553,176.029,0.0342,0.846,0.102,-22.106,0.0534
659,0.71,0.0995,0.0301,61.993,0.0324,0.983,0.0904,-28.386,0.0467
672,0.917,0.129,0.333,74.31,0.0424,0.878,0.111,-20.864,0.0506
680,0.969,0.256,0.0187,63.129,0.0386,0.934,0.0798,-25.214,0.0348
683,0.734,0.508,0.575,79.873,0.549,0,0.684,-11.967,0.218
684,0.944,0.522,0.0807,102.692,0.116,0.279,0.109,-21.45,0.0341
701,0.969,0.475,0.313,140.935,0.348,0.828,0.108,-11.798,0.0326
702,0.000869,0.618,0.938,104.997,0.698,3.69E-05,0.298,-6.06,0.0324
705,0.323,0.0776,0.243,63.808,0.0689,0.9,0.288,-18.148,0.0386
706,0.994,0.282,0.0221,65.699,0.0394,0.93,0.11,-27.283,0.0349
707,0.994,0.468,0.0258,93.616,0.321,0.937,0.109,-28.793,0.038
712,0.956,0.175,0.0671,108.976,0.0435,0.756,0.107,-24.346,0.0361
716,0.301,0.231,0.135,64.917,0.0367,0.0769,0.103,-18.968,0.0422
717,0.00127,0.264,0.349,132.598,0.0544,0.854,0.1,-19.061,0.107
728,0.00147,0.48,0.869,91.307,0.606,0.00169,0.172,-6.967,0.047
737,0.131,0.626,0.426,104.717,0.413,0.519,0.245,-12.681,0.0341
741,0.32,0.54,0.652,108.068,0.285,0,0.0837,-8.569,0.212
744,0.457,0.0702,0.334,77.48,0.0334,0.809,0.108,-9.935,0.0459
745,0.98,0.124,0.136,179.9,0.0364,0.938,0.0859,-18.508,0.0454
748,0.867,0.267,0.157,70.903,0.0395,0,0.109,-14.861,0.0565
749,0.152,0.682,0.878,128.041,0.637,0.912,0.166,-7.081,0.0439
760,0.957,0.245,0.284,117.502,0.0323,0.929,0.0779,-11.101,0.0427
769,0.781,0.383,0.308,129.941,0.231,0.461,0.661,-11.26,0.0336
774,0.819,0.145,0.0309,70.14,0.0375,0.86,0.16,-25.379,0.0478
779,0.716,0.636,0.318,120.005,0.277,0,0.0728,-7.881,0.0401
789,0.887,0.523,0.247,135.972,0.257,0.000873,0.0854,-12.824,0.0282
795,0.0645,0.306,0.628,75.16,0.0398,0.9,0.128,-10.774,0.0672
799,0.813,0.636,0.537,68.955,0.368,1.82E-05,0.118,-7.78,0.0285
803,0.897,0.135,0.00913,83.347,0.0409,0.00907,0.115,-25.933,0.0426
813,0.957,0.125,0.00947,96.255,0.0366,0.84,0.109,-32.031,0.0413
825,0.953,0.18,0.134,112.894,0.0555,0.932,0.0647,-16.588,0.0392
827,0.872,0.239,0.124,95.877,0.035,0.105,0.0483,-15.571,0.0423
834,0.966,0.336,0.0986,167.987,0.0403,0.878,0.099,-28.617,0.0337
836,0.00461,0.527,0.77,171.952,0.705,0,0.0817,-10.116,0.0504
849,0.855,0.0825,0.0525,79.532,0.0354,0.956,0.186,-17.271,0.0481
857,0.994,0.239,0.00275,66.979,0.0613,0.939,0.0963,-34.512,0.0327
859,0.941,0.546,0.153,147.001,0.0468,0.922,0.116,-19.451,0.0432
867,0.955,0.202,0.239,171.655,0.0741,0.888,0.101,-17.892,0.0425
872,0.98,0.22,0.161,78.843,0.0397,0.86,0.0924,-18.692,0.0447
873,0.936,0.512,0.239,31.555,0.185,0.935,0.109,-18.298,0.059
890,0.249,0.894,0.86,107.297,0.964,0.00597,0.061,-4.507,0.0694
892,0.0171,0.426,0.973,149.303,0.456,0.354,0.318,-6.559,0.126
896,0.419,0.476,0.298,136.891,0.0398,0.811,0.206,-17.377,0.0401
903,0.374,0.577,0.435,114.119,0.381,0.877,0.0901,-13.441,0.0356
907,0.949,0.504,0.279,123.084,0.0386,0.897,0.0963,-15.417,0.0395
908,0.046,0.723,0.666,113.99,0.117,0,0.106,-7.028,0.0274
911,0.74,0.605,0.297,124.022,0.284,0.00379,0.118,-11.261,0.0308
912,0.0547,0.445,0.878,134.988,0.237,0.00031,0.0826,-6.056,0.133
918,0.896,0.198,0.149,93.376,0.0398,0.852,0.126,-19.54,0.0349
919,0.757,0.432,0.219,138.003,0.0928,0.789,0.0822,-15.037,0.039
928,0.881,0.332,0.045,119.477,0.0386,0.926,0.0794,-29.707,0.0401
946,0.546,0.636,0.591,66.597,0.218,0,0.116,-12.894,0.926
951,0.886,0.623,0.0757,98.091,0.0897,0.812,0.11,-10.094,0.0424
978,0.649,0.479,0.445,130.017,0.102,0.928,0.0582,-14.151,0.0318
986,0.911,0.189,0.248,135.02,0.0367,0.792,0.131,-14.685,0.0352
991,0.76,0.463,0.29,117.916,0.297,0.595,0.051,-13.661,0.0398
1004,0.981,0.379,0.129,123.381,0.0488,0.713,0.122,-23.122,0.041
1009,0.00882,0.785,0.832,115.992,0.861,1.72E-06,0.0879,-9.1,0.132
1013,0.316,0.24,0.596,69.364,0.0846,0.835,0.094,-9.342,0.078
1016,7.84E-06,0.375,0.915,165.023,0.279,0.868,0.0819,-6.752,0.0452
1036,0.522,0.75,0.667,119.977,0.0559,0.772,0.132,-9.281,0.0476
1053,0.00444,0.681,0.933,130.02,0.896,0.886,0.0944,-9.039,0.0389
1054,0.991,0.14,0.047,65.611,0.035,0.93,0.106,-27.891,0.0421
1055,0.271,0.362,0.287,116.885,0.032,0.928,0.0956,-15.315,0.042
1057,0.92,0.287,0.0991,113.041,0.118,0.885,0.1,-26.459,0.0374
1064,0.685,0.688,0.422,136.058,0.776,0.937,0.106,-18.395,0.0438
1069,0.0204,0.423,0.951,78.78,0.768,0.000369,0.331,-1.726,0.118
1071,0.558,0.162,0.034,107.745,0.0351,0.884,0.202,-19.77,0.0367
1076,0.914,0.22,0.0911,88.148,0.0353,0.9,0.114,-26.881,0.0341
1090,0.913,0.679,0.18,125.951,0.338,0.368,0.0934,-17.492,0.0383
1100,0.933,0.299,0.137,74.88,0.161,0.928,0.094,-16.959,0.0344
1114,0.981,0.327,0.075,131.967,0.0454,0.92,0.271,-20.981,0.0375
1118,0.748,0.505,0.206,129.633,0.284,8.68E-05,0.114,-13.03,0.0314
1122,0.386,0.459,0.44,122.027,0.0629,0.579,0.22,-15.244,0.0312
1124,0.0142,0.753,0.823,95.958,0.614,0.922,0.0399,-7.542,0.0546
1127,0.663,0.0649,0.199,59.537,0.0332,0.927,0.341,-14.764,0.0369
1145,0.864,0.329,0.123,129.43,0.0598,0.897,0.097,-22.975,0.0367
1152,0.327,0.488,0.548,90.026,0.14,0.189,0.101,-13.788,0.0553
1157,0.937,0.677,0.418,140.019,0.783,0.631,0.112,-12.706,0.0294
1171,0.823,0.607,0.268,94.139,0.173,3.43E-06,0.0997,-13.474,0.0324
1175,0.716,0.57,0.442,73.963,0.53,0.000788,0.0922,-9.656,0.043
1177,0.809,0.405,0.298,94.679,0.0943,0.0908,0.466,-13.097,0.0324
1190,0.969,0.584,0.0758,59.151,0.191,0.87,0.105,-19.194,0.0451
1200,0.271,0.797,0.497,96.001,0.374,0,0.0966,-5.496,0.0273
1212,0.894,0.0866,0.0706,167.793,0.0373,0.58,0.101,-26.115,0.0408
